latitude,longitude,name,provider,full_address,data_center_count,aggregated_power,aggregated_area,yearbuilt,sources,avg_name_similarity,avg_provider_similarity,state,facility_type_orig,log_power,log_area,ftype_Building,ftype_Campus,ftype_Individual,aggregated_power_imputed
43.6461886,-79.38248000000002,CentriLogic · Downtown Toronto,CentriLogic,"55 York Street, Suite 300, Toronto, ON, Canada",1,,16000.0,1929.0,datacenterhawk,1.0,1.0,Toronto,Individual,0.5192742943763733,9.680406499268875,False,False,True,0.680807435586078
43.6470615,-79.3827201,Equinix · TR4,Toronto Hydro,"100 Wellington Street West, Toronto, ON, Canada",1,,514769.0,1974.0,datacenterhawk,1.0,1.0,ON,Individual,0.6994432806968689,13.151475477947777,False,False,True,1.0126319244762065
43.6474302,-79.3840548,eStruxture · TOR-2,Toronto Hydro,"145 King Street West; 8th floor, Toronto, ON, Canada",1,,643318.0,1950.0,datacenterhawk,1.0,1.0,ON,Individual,-0.3300926387310028,13.374395992172014,False,False,True,-0.2811428636656438
43.6508466,-79.36224829999999,Equinix · TR2,Equinix,"45 Parliament Street, Toronto, ON, Canada",1,,242317.0,2015.0,datacenterhawk,1.0,1.0,ON,Individual,3.838822364807129,12.398006192118032,False,False,True,45.47071665240093
43.6807647,-79.5881665,7L Networks · 80 Galaxy Boulevard,7L Networks,"80 Galaxy Boulevard, Toronto, ON, Canada",1,,57721.0,1970.0,datacenterhawk,1.0,1.0,ON,Individual,1.6159414052963257,10.963393662322158,False,False,True,4.032623432456121
43.6980688,-79.2663419,STACK Infrastructure · TOR01A,Stack Infrastructure,"3650 Danforth Ave, Scarborough, ON, Canada",3,0.0,0.0,1963.0,datacenterhawk,0.9534180278281912,1.0,ON,Campus,0.0,0.0,False,True,False,0.0
43.7048825,-79.3609013,TELUS · 73 Laird Drive,TELUS,"73 Laird Drive, East York, ON, Canada",1,1.0,201118.0,2000.0,datacenterhawk,1.0,1.0,ON,Individual,0.6931471805599453,12.211652051655786,False,False,True,1.0
43.7407711,-79.620691,Urbacon Data Centre Solutions · DC7,Urbacon,"310 Humberline Drive, Etobicoke, ON, Canada",1,,117302.0,1980.0,datacenterhawk,1.0,1.0,ON,Individual,2.4027481079101562,11.67251560976209,False,False,True,10.053510921052737
43.7448737,-79.7161266,Equinix · TR6,Equinix,"30 Bramtree Court, Brampton, ON, Canada",1,,,2003.0,datacenterhawk,1.0,1.0,ON,Individual,,,False,False,True,
43.7449348,-79.71782549999999,Equinix · TR7,Equinix,"1895 Williams Parkway, Brampton, ON, Canada",1,8.8,400000.0,2000.0,datacenterhawk,1.0,1.0,ON,Individual,2.2823823856765264,12.899222326086994,False,False,True,8.800000000000002
